Status,Prefix,random fuel code,Carbon intensity,EDRMS#,Fake Company,Fake contact name,Fake contact email,Application date,Approval date,Effective date,Expiry date,Fuel,Feedstock,Feedstock location,Misc,Fuel production facility city,Fuel production facility province/state,Fuel production facility country,Facility nameplate capacity random,Unit,Feedstock transport mode,Finished fuel transport mode,Former company,Notes
Approved,BCLCF,508.1,43.44,D28291160,Acevedo-Hanson,Devin Reyes,karicarroll@example.com,2024-06-25 00:00:00,2024-08-21 00:00:00,2024-06-25 00:00:00,2037-04-29 00:00:00,Renewable naphtha,Camelina,US West,,New Orleans,Louisiana,United States of America,919289371,,"Marine-international, Rail",Rail,,
Approved,BCLCF,650.1,16.14,D28291386,"Acosta, Hudson and Greene",William Sullivan,avilaelizabeth@example.net,2014-12-31 00:00:00,2015-02-03 00:00:00,2015-01-01 00:00:00,2039-08-18 00:00:00,Biodiesel,Carinata,US Central,,Cedar Rapids,Iowa,United States of America,109375865,,"Marine-international, Rail",Rail,,
Approved,C-BCLCF,233.2,64.19,D28291272,Aguirre LLC,Anna Ashley,michaelcaldwell@example.org,2023-12-22 00:00:00,2024-04-30 00:00:00,2024-01-01 00:00:00,2037-11-13 00:00:00,LNG,Fossil-based Natural Gas,British Columbia,Tilbury facility,Victoria,British Columbia,Canada,13635954,,Pipeline,Pipeline,,
Approved,BCLCF,195.4,33.19,D28291315,Aguirre Ltd,Shannon Butler,jacksonkristen@example.com,2021-03-19 00:00:00,2021-10-18 00:00:00,2021-03-19 00:00:00,2038-12-27 00:00:00,Biodiesel,Corn Oil,US Central,,Cedar Rapids,Iowa,United States of America,110205067,,"Marine-international, Rail",Rail,,
Approved,BCLCF,193.1,27.62,D28291222,Alexander LLC,Matthew Thompson,josebradley@example.com,2023-09-25 00:00:00,2024-02-26 00:00:00,2023-09-25 00:00:00,2038-01-24 00:00:00,Renewable naphtha,Soy,US Central,,Bismarck,North Dakota,United States of America,322702111,,Rail,Rail,,
Approved,C-BCLCF,538.1,12.96,D28291181,Alexander-Watson,Jordan Olson,rwhite@example.net,2025-06-27 00:00:00,2025-08-18 00:00:00,2025-07-01 00:00:00,2036-06-06 00:00:00,HDRD,Yellow Grease (UCO),US Central,,Vancouver,British Columbia,Canada,170185580,Litres,Rail,Truck,,
Approved,BCLCF,179.1,26.16,D28291282,Allen Inc,Lydia Davis,raymondpaul@example.com,2024-10-08 00:00:00,2025-01-15 00:00:00,2024-10-27 00:00:00,2036-09-15 00:00:00,Alternative jet fuel,Soy,US Central,Soy Oil,Houston,Texas,United States of America,1711225668,Litres,"Marine, Truck",Marine,,
Approved,C-BCLCF,429.2,3.13,D28291543,Allen Ltd,William Wagner,blakekatherine@example.org,2013-04-19 00:00:00,2013-05-10 00:00:00,2013-05-10 00:00:00,2040-01-13 00:00:00,Ethanol,Triticale,Alberta,,Edmonton,Alberta,Canada,36393179,,Marine-international,"Marine-international, Rail",,
Approved,C-BCLCF,123.5,21.44,D28291066,Allen Ltd,William Allison,shouse@example.com,2023-10-19 00:00:00,2024-06-10 00:00:00,2024-07-01 00:00:00,2036-02-12 00:00:00,Renewable naphtha,Tallow,Australia,,Prince George,British Columbia,Canada,187811794,Litres,"Marine, Rail",Marine-international,,
Approved,BCLCF,400.1,29.58,D28291304,Allen-Cox,Michele Burton,vmontoya@example.org,2024-08-28 00:00:00,2024-11-27 00:00:00,2024-09-25 00:00:00,2037-01-20 00:00:00,HDRD,Soy,US Central,Soybean Oil,Baton Rouge,Louisiana,United States of America,325070591,,Rail,Rail,,
